,cod_bairro,nome,habitantes,renda_percapita,cod_cidade
0,1,Centro,5000,1800,1
1,2,Jardim América,7000,2200,1
2,3,Vila Arens,8000,2500,2
3,4,Anhangabaú,6000,2400,2
4,5,Cambuí,15000,4000,3
5,6,Taquaral,12000,3500,3
6,7,Moema,20000,4500,4
7,8,Pinheiros,18000,4200,4
8,9,Gonzaga,9000,3000,5
9,10,Ponta da Praia,8500,2900,5
10,11,Centro,10000,2600,6
11,12,Campolim,11000,2800,6
12,13,Jardim Botânico,9500,2700,7
13,14,Centro,9000,2600,7
14,15,Jardim Aquarius,12000,3200,8
15,16,Centro,11000,3000,8
16,17,Centro,8000,2400,9
17,18,Piracicamirim,7500,2300,9
18,19,Centro,7000,2300,10
19,20,Vila Falcão,6500,2200,10
20,21,Savassi,13000,3800,11
21,22,Pampulha,14000,3600,11
22,23,Santa Mônica,9000,2600,12
23,24,Centro,8500,2500,12
24,25,Eldorado,10000,2400,13
25,26,Industrial,9500,2300,13
26,27,Centro,11000,2500,14
27,28,São Mateus,10500,2400,14
28,29,Centro,9500,2300,15
29,30,Alterosas,9000,2200,15
30,31,Centro,8500,2100,16
31,32,Major Prates,8000,2000,16
32,33,Centro,8000,2400,17
33,34,Abadia,7500,2300,17
34,35,Centro,7000,2000,18
35,36,Grã-Duquesa,6800,1900,18
36,37,Centro,7200,2200,19
37,38,Canaã,7000,2100,19
38,39,Centro,6800,2100,20
39,40,Boa Vista,6500,2000,20
