,cod_calendario,data,dia_da_semana,feriado,data_especial
0,1,2024-07-08,segunda-feira,,
1,2,2024-07-09,terça-feira,,
2,3,2024-07-10,quarta-feira,,
3,4,2024-07-11,quinta-feira,,
4,5,2024-07-12,sexta-feira,,
5,6,2024-07-13,sábado,,
6,7,2024-07-14,domingo,,
7,8,2024-07-15,segunda-feira,,
8,9,2024-07-16,terça-feira,,
9,10,2024-07-17,quarta-feira,,
10,11,2024-07-18,quinta-feira,,
11,12,2024-07-19,sexta-feira,,
12,13,2024-07-20,sábado,,
13,14,2024-07-21,domingo,,
14,15,2024-07-22,segunda-feira,,
15,16,2024-07-23,terça-feira,,
16,17,2024-07-24,quarta-feira,,
17,18,2024-07-25,quinta-feira,,
18,19,2024-07-26,sexta-feira,,
19,20,2024-07-27,sábado,,
20,21,2024-07-28,domingo,,
21,22,2024-07-29,segunda-feira,,
22,23,2024-07-30,terça-feira,,
23,24,2024-07-31,quarta-feira,,
24,25,2024-08-01,quinta-feira,,
25,26,2024-08-02,sexta-feira,,
26,27,2024-08-03,sábado,,
27,28,2024-08-04,domingo,,
28,29,2024-08-05,segunda-feira,,
29,30,2024-08-06,terça-feira,,
30,31,2024-08-07,quarta-feira,,
31,32,2024-08-08,quinta-feira,,
32,33,2024-08-09,sexta-feira,,
33,34,2024-08-10,sábado,,
34,35,2024-08-11,domingo,,
35,36,2024-08-12,segunda-feira,,
36,37,2024-08-13,terça-feira,,
37,38,2024-08-14,quarta-feira,,
38,39,2024-08-15,quinta-feira,,
39,40,2024-08-16,sexta-feira,,
40,41,2024-08-17,sábado,,
41,42,2024-08-18,domingo,,
42,43,2024-08-19,segunda-feira,,
43,44,2024-08-20,terça-feira,,
44,45,2024-08-21,quarta-feira,,
45,46,2024-08-22,quinta-feira,,
46,47,2024-08-23,sexta-feira,,
47,48,2024-08-24,sábado,,
48,49,2024-08-25,domingo,,
49,50,2024-08-26,segunda-feira,,
50,51,2024-08-27,terça-feira,,
51,52,2024-08-28,quarta-feira,,
52,53,2024-08-29,quinta-feira,,
53,54,2024-08-30,sexta-feira,,
54,55,2024-08-31,sábado,,
55,56,2024-09-01,domingo,,
56,57,2024-09-02,segunda-feira,,
57,58,2024-09-03,terça-feira,,
58,59,2024-09-04,quarta-feira,,
59,60,2024-09-05,quinta-feira,,
60,61,2024-09-06,sexta-feira,,
61,62,2024-09-07,sábado,Independência do Brasil,
62,63,2024-09-08,domingo,,
63,64,2024-09-09,segunda-feira,,
64,65,2024-09-10,terça-feira,,
65,66,2024-09-11,quarta-feira,,
66,67,2024-09-12,quinta-feira,,
67,68,2024-09-13,sexta-feira,,
68,69,2024-09-14,sábado,,
69,70,2024-09-15,domingo,,
70,71,2024-09-16,segunda-feira,,
71,72,2024-09-17,terça-feira,,
72,73,2024-09-18,quarta-feira,,
73,74,2024-09-19,quinta-feira,,
74,75,2024-09-20,sexta-feira,,
75,76,2024-09-21,sábado,,
76,77,2024-09-22,domingo,,
77,78,2024-09-23,segunda-feira,,
78,79,2024-09-24,terça-feira,,
79,80,2024-09-25,quarta-feira,,
80,81,2024-09-26,quinta-feira,,
81,82,2024-09-27,sexta-feira,,
82,83,2024-09-28,sábado,,
83,84,2024-09-29,domingo,,
84,85,2024-09-30,segunda-feira,,
85,86,2024-10-01,terça-feira,,
86,87,2024-10-02,quarta-feira,,
87,88,2024-10-03,quinta-feira,,
88,89,2024-10-04,sexta-feira,,
89,90,2024-10-05,sábado,,
90,91,2024-10-06,domingo,,
91,92,2024-10-07,segunda-feira,,
92,93,2024-10-08,terça-feira,,
93,94,2024-10-09,quarta-feira,,
94,95,2024-10-10,quinta-feira,,
95,96,2024-10-11,sexta-feira,,
96,97,2024-10-12,sábado,Nossa Senhora Aparecida,
97,98,2024-10-13,domingo,,
98,99,2024-10-14,segunda-feira,,
99,100,2024-10-15,terça-feira,,
100,101,2024-10-16,quarta-feira,,
101,102,2024-10-17,quinta-feira,,
102,103,2024-10-18,sexta-feira,,
103,104,2024-10-19,sábado,,
104,105,2024-10-20,domingo,,
105,106,2024-10-21,segunda-feira,,
106,107,2024-10-22,terça-feira,,
107,108,2024-10-23,quarta-feira,,
108,109,2024-10-24,quinta-feira,,
109,110,2024-10-25,sexta-feira,,
110,111,2024-10-26,sábado,,
111,112,2024-10-27,domingo,,
112,113,2024-10-28,segunda-feira,,
113,114,2024-10-29,terça-feira,,
114,115,2024-10-30,quarta-feira,,
115,116,2024-10-31,quinta-feira,,
116,117,2024-11-01,sexta-feira,,
117,118,2024-11-02,sábado,Finados,
118,119,2024-11-03,domingo,,
119,120,2024-11-04,segunda-feira,,
120,121,2024-11-05,terça-feira,,
121,122,2024-11-06,quarta-feira,,
122,123,2024-11-07,quinta-feira,,
123,124,2024-11-08,sexta-feira,,
124,125,2024-11-09,sábado,,
125,126,2024-11-10,domingo,,
126,127,2024-11-11,segunda-feira,,
127,128,2024-11-12,terça-feira,,
128,129,2024-11-13,quarta-feira,,
129,130,2024-11-14,quinta-feira,,
130,131,2024-11-15,sexta-feira,Proclamação da República,
131,132,2024-11-16,sábado,,
132,133,2024-11-17,domingo,,
133,134,2024-11-18,segunda-feira,,
134,135,2024-11-19,terça-feira,,
135,136,2024-11-20,quarta-feira,,
136,137,2024-11-21,quinta-feira,,
137,138,2024-11-22,sexta-feira,,
138,139,2024-11-23,sábado,,
139,140,2024-11-24,domingo,,
140,141,2024-11-25,segunda-feira,,
141,142,2024-11-26,terça-feira,,
142,143,2024-11-27,quarta-feira,,
143,144,2024-11-28,quinta-feira,,
144,145,2024-11-29,sexta-feira,,
145,146,2024-11-30,sábado,,
146,147,2024-12-01,domingo,,
147,148,2024-12-02,segunda-feira,,
148,149,2024-12-03,terça-feira,,
149,150,2024-12-04,quarta-feira,,
150,151,2024-12-05,quinta-feira,,
151,152,2024-12-06,sexta-feira,,
152,153,2024-12-07,sábado,,
153,154,2024-12-08,domingo,,
154,155,2024-12-09,segunda-feira,,
155,156,2024-12-10,terça-feira,,
156,157,2024-12-11,quarta-feira,,
157,158,2024-12-12,quinta-feira,,
158,159,2024-12-13,sexta-feira,,
159,160,2024-12-14,sábado,,
160,161,2024-12-15,domingo,,
161,162,2024-12-16,segunda-feira,,
162,163,2024-12-17,terça-feira,,
163,164,2024-12-18,quarta-feira,,
164,165,2024-12-19,quinta-feira,,
165,166,2024-12-20,sexta-feira,,
166,167,2024-12-21,sábado,,
167,168,2024-12-22,domingo,,
168,169,2024-12-23,segunda-feira,,
169,170,2024-12-24,terça-feira,,
170,171,2024-12-25,quarta-feira,Natal,
171,172,2024-12-26,quinta-feira,,
172,173,2024-12-27,sexta-feira,,
173,174,2024-12-28,sábado,,
174,175,2024-12-29,domingo,,
175,176,2024-12-30,segunda-feira,,
176,177,2024-12-31,terça-feira,,
177,178,2025-01-01,quarta-feira,Confraternização Universal,
178,179,2025-01-02,quinta-feira,,
179,180,2025-01-03,sexta-feira,,
180,181,2025-01-04,sábado,,
181,182,2025-01-05,domingo,,
182,183,2025-01-06,segunda-feira,,
183,184,2025-01-07,terça-feira,,
184,185,2025-01-08,quarta-feira,,
185,186,2025-01-09,quinta-feira,,
186,187,2025-01-10,sexta-feira,,
187,188,2025-01-11,sábado,,
188,189,2025-01-12,domingo,,
189,190,2025-01-13,segunda-feira,,
190,191,2025-01-14,terça-feira,,
191,192,2025-01-15,quarta-feira,,
192,193,2025-01-16,quinta-feira,,
193,194,2025-01-17,sexta-feira,,
194,195,2025-01-18,sábado,,
195,196,2025-01-19,domingo,,
196,197,2025-01-20,segunda-feira,,
197,198,2025-01-21,terça-feira,,
198,199,2025-01-22,quarta-feira,,
