,cod_endereco,cep,logradouro,numero,cod_estado,cod_cidade,cod_bairro,data_criacao,data_alteracao
0,f63bfbf1,34.878.848-140,Rua do Terminal,916,1,7,14,2000-01-12,2000-01-12
1,cdfae907,79.317.963-121,Rua do Planalto,664,1,9,18,2000-01-12,2000-01-12
2,4cf1d0ea,95.485.167-607,Rua das Estrelas,994,2,15,29,2000-01-12,2000-01-12
3,2b367820,17.353.841-538,Rua do Patrimônio,224,1,3,6,2000-01-12,2000-01-12
4,f8ee8bce,65.622.104-123,Rua dos Estudantes,682,2,17,33,2000-01-12,2000-01-12
5,2aec4889,33.227.119-539,Rua do Ar,88,2,16,31,2000-01-12,2000-01-12
6,ee44c5db,23.189.435-860,Rua da Esperança,14,2,18,35,2000-01-12,2000-01-12
7,fcbfb36f,89.726.778-119,Rua das Crianças,253,2,11,22,2000-01-12,2000-01-12
8,daa16060,65.249.649-977,Rua das Capitais,774,1,2,4,2000-01-12,2000-01-12
9,09342ecc,64.126.759-195,Rua Quinze de Novembro,400,2,17,33,2000-01-12,2000-01-12
10,3ae059b2,36.802.795-390,Rua das Estrelas,590,1,5,10,2000-01-12,2000-01-12
11,0ca12509,74.722.918-870,Rua Alta,973,2,19,37,2000-01-12,2000-01-12
12,af2cf714,82.134.462-308,Rua do Sol Nascente,770,1,10,19,2000-01-12,2000-01-12
13,d8237b2f,93.662.644-873,Rua Heitor Villa-Lobos,24,1,7,13,2000-01-12,2000-01-12
14,eb5313af,75.945.154-204,Rua da Inovação,859,1,10,19,2000-01-12,2000-01-12
15,42de26f1,55.611.876-711,Rua dos Advogados,849,2,13,25,2000-01-12,2000-01-12
16,089ad1eb,26.971.835-615,Rua das Indústrias,627,1,3,5,2000-01-12,2000-01-12
17,01292a01,71.691.304-543,Rua do Lazer,33,1,10,20,2000-01-12,2000-01-12
18,f813f1b2,18.607.773-240,Rua Ayrton Senna,222,1,4,8,2000-01-12,2000-01-12
19,f466859f,92.481.734-186,Rua Leste,120,2,13,26,2000-01-12,2000-01-12
20,4d6c4235,73.345.682-149,Rua Santos Dumont,965,1,3,6,2000-01-12,2000-01-12
21,26e84368,45.698.846-824,Rua Rui Barbosa,288,2,16,32,2000-01-12,2000-01-12
22,3f1ea1fd,56.188.363-873,Rua dos Idosos,581,1,9,18,2000-01-12,2000-01-12
23,9177b969,45.882.957-928,Rua do Bairro,779,2,13,25,2000-01-12,2000-01-12
24,c3d4bf9d,17.692.960-738,Rua das Nações,61,2,11,22,2000-01-12,2000-01-12
25,6cfad1ac,78.886.945-297,Rua da Safira,950,2,16,31,2000-01-12,2000-01-12
26,1fcfe7d4,70.973.424-944,Rua Santos Dumont,758,2,12,24,2000-01-12,2000-01-12
27,4421ba5e,11.680.755-641,Rua da Tecnologia,599,2,11,21,2000-01-12,2000-01-12
28,b711fc6c,40.334.157-520,Rua dos Jovens,118,1,7,14,2000-01-12,2000-01-12
29,74288ab2,68.951.986-578,Rua dos Lírios,417,1,4,7,2000-01-12,2000-01-12
30,b5691081,92.216.261-237,Rua da Pintura,135,1,3,6,2000-01-12,2000-01-12
31,b216a104,44.104.964-292,Rua do Fórum,724,1,4,8,2000-01-12,2000-01-12
32,ddd7d30f,89.959.534-792,Rua das Margaridas,281,2,14,28,2000-01-12,2000-01-12
33,a9a9c5d1,38.228.107-199,Rua do Patrimônio,921,2,13,26,2000-01-12,2000-01-12
34,4d17d5b7,69.586.494-269,Rua do Distrito,511,2,20,40,2000-01-12,2000-01-12
35,f014dc5b,45.331.125-921,Rua da História,330,1,7,14,2000-01-12,2000-01-12
36,6fe40550,68.988.611-470,Rua da Harmonia,466,2,12,24,2000-01-12,2000-01-12
37,fbe54cd4,54.878.838-342,Rua da Tradição,192,1,6,11,2000-01-12,2000-01-12
38,a1496de7,96.561.855-872,Rua Heitor Villa-Lobos,39,1,2,4,2000-01-12,2000-01-12
39,718825f5,53.414.700-259,Rua dos Médicos,522,1,8,16,2000-01-12,2000-01-12
40,3fb19541,94.190.263-932,Rua Chico Mendes,378,1,7,14,2000-01-12,2000-01-12
41,2bc29542,85.948.930-874,Rua da Paz,720,2,17,33,2000-01-12,2000-01-12
42,f90ce529,85.371.929-570,Rua do Horizonte,547,1,10,20,2000-01-12,2000-01-12
43,5fac2dd3,22.274.462-232,Rua da Prata,733,1,4,7,2000-01-12,2000-01-12
44,36542f30,97.434.720-244,Rua da Escultura,535,2,13,26,2000-01-12,2000-01-12
45,7e0feb16,99.243.198-178,Rua Norte,178,2,19,38,2000-01-12,2000-01-12
46,7eca4a51,97.739.823-185,Rua da Vila,716,2,15,29,2000-01-12,2000-01-12
47,317d6b82,92.589.413-962,Rua das Tulipas,709,1,1,2,2000-01-12,2000-01-12
48,1ddff873,28.923.704-179,Rua das Oliveiras,804,2,13,26,2000-01-12,2000-01-12
49,59d77832,85.445.424-190,Rua dos Jovens,320,2,15,30,2000-01-12,2000-01-12
50,549b2518,26.320.893-453,Rua do Sol Nascente,266,1,4,8,2000-01-12,2000-01-12
51,cd896351,43.794.763-937,Rua Santos Dumont,122,1,6,11,2000-01-12,2000-01-12
52,9992adf2,73.944.112-424,Rua da Alegria,396,2,16,32,2000-01-12,2000-01-12
53,6cb91705,78.233.252-342,Rua da Inovação,236,2,16,32,2000-01-12,2000-01-12
54,bc505f80,30.880.659-320,Rua da Serra,873,1,10,20,2000-01-12,2000-01-12
55,67b6c4c2,19.371.542-638,Rua das Colinas,20,2,12,23,2000-01-12,2000-01-12
56,33f863a7,61.760.464-458,Rua da Fotografia,184,2,18,35,2000-01-12,2000-01-12
57,ee39334f,95.704.432-246,Rua da Galáxia,765,2,11,21,2000-01-12,2000-01-12
58,2942a0c6,76.649.370-861,Rua da Glória,409,2,15,30,2000-01-12,2000-01-12
59,c6897c21,61.299.862-362,Rua do Sertão,758,2,19,37,2000-01-12,2000-01-12
60,7e332cf6,62.845.820-333,Rua do Teatro,668,2,17,33,2000-01-12,2000-01-12
61,b61c3959,71.831.518-703,Rua do Comércio,54,2,16,32,2000-01-12,2000-01-12
62,0b30f461,36.397.411-629,Rua Larga,483,1,8,15,2000-01-12,2000-01-12
63,5f649de2,93.631.229-454,Rua da Liberdade,363,2,12,24,2000-01-12,2000-01-12
64,07421a9d,58.875.862-539,Rua do Porto,860,2,19,38,2000-01-12,2000-01-12
65,535de310,64.539.402-164,Rua do Império,993,1,8,16,2000-01-12,2000-01-12
66,14e1e1b8,63.249.223-783,Rua da Cidade,620,2,19,37,2000-01-12,2000-01-12
67,49f22c9d,16.646.594-212,Rua Anita Garibaldi,624,1,4,7,2000-01-12,2000-01-12
68,c782d4a2,66.958.112-596,Rua da Serra,763,2,16,31,2000-01-12,2000-01-12
69,5aa44ec3,52.410.547-114,Rua das Energias,649,1,5,9,2000-01-12,2000-01-12
70,7ba46097,35.831.493-514,Rua do Sertão,580,2,16,32,2000-01-12,2000-01-12
71,0be3ebd0,57.438.437-344,Rua da Democracia,635,2,11,22,2000-01-12,2000-01-12
72,b5bf7347,67.136.433-328,Rua da Esmeralda,254,1,9,18,2000-01-12,2000-01-12
73,757b882b,86.572.899-563,Rua da Esperança,442,1,3,5,2000-01-12,2000-01-12
74,0a673e69,85.557.420-593,Rua Leste,235,1,7,13,2000-01-12,2000-01-12
75,39575c59,48.137.249-120,Rua da Educação,757,2,16,31,2000-01-12,2000-01-12
76,6190b111,37.638.439-343,Rua Direita,589,1,8,16,2000-01-12,2000-01-12
77,5256f238,98.355.775-125,Rua dos Professores,51,1,7,13,2000-01-12,2000-01-12
78,fbdeea36,99.738.197-228,Rua Darcy Ribeiro,639,1,2,3,2000-01-12,2000-01-12
79,1d57c705,87.956.466-378,Rua do Patrimônio,464,2,19,38,2000-01-12,2000-01-12
80,c8a36266,97.737.454-254,Rua do Gás,616,2,16,32,2000-01-12,2000-01-12
81,09de11f9,49.513.648-885,Rua do Cobre,16,1,3,6,2000-01-12,2000-01-12
82,c8b9c4ba,26.485.536-922,Rua das Azaleias,593,2,19,38,2000-01-12,2000-01-12
83,ae9e8e58,19.811.413-665,Rua dos Cravos,546,1,2,3,2000-01-12,2000-01-12
84,387d18de,43.248.950-170,Rua da Estação,42,2,18,36,2000-01-12,2000-01-12
85,8873ca01,98.173.491-206,Rua do Cobre,574,2,19,37,2000-01-12,2000-01-12
86,f941418d,86.558.519-737,Rua da Cultura,799,2,17,33,2000-01-12,2000-01-12
87,51d4a5fc,27.943.733-787,Rua do Rubi,646,2,14,28,2000-01-12,2000-01-12
88,bb2e6cba,76.317.807-390,Rua do Teatro,997,1,3,6,2000-01-12,2000-01-12
89,03a241ef,56.120.663-169,Rua da Fraternidade,897,1,7,13,2000-01-12,2000-01-12
90,77584eed,79.381.394-536,Rua Santos Dumont,354,1,8,16,2000-01-12,2000-01-12
91,dacc17bd,81.749.978-645,Rua das Indústrias,750,1,9,17,2000-01-12,2000-01-12
92,3b3f6c88,33.363.323-464,Rua da Terra,210,1,9,17,2000-01-12,2000-01-12
93,787a2e4f,46.580.937-911,Rua das Capitais,249,2,14,27,2000-01-12,2000-01-12
94,05a7e314,56.808.426-196,Rua Zumbi dos Palmares,653,2,11,21,2000-01-12,2000-01-12
95,af938dbc,59.375.979-377,Rua das Colinas,58,1,2,4,2000-01-12,2000-01-12
96,1bee8a52,37.519.552-814,Rua Machado de Assis,171,1,10,20,2000-01-12,2000-01-12
97,28158ecc,70.859.660-701,Rua Leste,520,2,11,21,2000-01-12,2000-01-12
98,161629bf,73.986.977-324,Rua Machado de Assis,293,1,2,3,2000-01-12,2000-01-12
99,3ef054dd,58.390.217-162,Rua da Pérola,739,2,18,35,2000-01-12,2000-01-12
100,5b39c1b1,57.855.542-154,Rua Tiradentes,690,2,12,24,2000-01-12,2000-01-12
101,8adf50f1,74.737.879-444,Rua da União,580,2,12,23,2000-01-12,2000-01-12
102,82b1461f,67.407.323-929,Rua Alta,728,1,9,18,2000-01-12,2000-01-12
103,6610a93d,14.798.973-482,Rua do Sertão,529,1,8,15,2000-01-12,2000-01-12
104,e0ee24be,47.196.984-395,Rua da Lua,497,2,12,24,2000-01-12,2000-01-12
105,332546cf,44.654.313-721,Rua das Magnólias,405,1,3,5,2000-01-12,2000-01-12
106,fd6fc985,48.302.507-902,Rua do Tempo,837,2,13,26,2000-01-12,2000-01-12
107,6689e037,77.226.573-875,Rua dos Rios,990,1,2,4,2000-01-12,2000-01-12
108,4babd57d,30.796.741-497,Rua do Alumínio,190,2,15,30,2000-01-12,2000-01-12
109,835b284a,39.578.640-299,Rua dos Cravos,619,2,15,30,2000-01-12,2000-01-12
110,0b4c1bc9,48.261.845-904,Rua Pelé,87,1,5,9,2000-01-12,2000-01-12
111,0f973893,76.554.483-189,Rua Esquerda,275,1,6,12,2000-01-12,2000-01-12
112,f919f6ea,13.325.896-299,Rua da Solidariedade,691,2,14,27,2000-01-12,2000-01-12
113,4bddaf26,83.261.818-544,Rua da União,548,2,14,27,2000-01-12,2000-01-12
114,50c4a177,85.608.557-735,Rua da Pesquisa,894,1,6,12,2000-01-12,2000-01-12
115,60a9248b,34.539.580-737,Rua da História,251,2,13,26,2000-01-12,2000-01-12
116,b07a72a1,73.552.152-364,Rua da Dança,278,2,18,35,2000-01-12,2000-01-12
117,f9bde49b,41.302.888-587,Rua do Sol Nascente,901,2,18,36,2000-01-12,2000-01-12
118,87f258d7,25.227.126-288,Rua da Safira,931,2,17,34,2000-01-12,2000-01-12
119,8b6e0586,68.478.139-549,Rua do Progresso,293,2,17,33,2000-01-12,2000-01-12
120,bee948e8,88.823.448-648,Rua do Turismo,836,1,6,11,2000-01-12,2000-01-12
121,4d857670,65.190.673-304,Rua Zumbi dos Palmares,443,1,7,13,2000-01-12,2000-01-12
122,8a14cdd0,81.446.974-541,Rua dos Escritores,52,1,2,3,2000-01-12,2000-01-12
123,db794f13,59.512.292-635,Rua da Fotografia,619,1,9,17,2000-01-12,2000-01-12
124,af2a880f,43.746.424-975,Rua da Harmonia,91,1,1,2,2000-01-12,2000-01-12
125,5b3c2df7,37.859.627-840,Rua do Gás,875,2,11,22,2000-01-12,2000-01-12
126,9e8e9f66,53.158.325-691,Rua do Progresso,332,2,15,29,2000-01-12,2000-01-12
127,3137dc0d,32.130.607-998,Rua do Amanhã,315,2,14,27,2000-01-12,2000-01-12
128,78731fdd,35.441.202-947,Rua da Vila,143,1,9,18,2000-01-12,2000-01-12
129,82877d38,77.900.460-851,Rua do Eclipse,543,2,17,33,2000-01-12,2000-01-12
130,2c89bd61,33.944.900-588,Rua do Ferro,607,2,19,38,2000-01-12,2000-01-12
131,e22cc737,98.874.376-347,Rua da Família,839,2,19,38,2000-01-12,2000-01-12
132,27ea1d3f,29.776.235-883,Rua da Prefeitura,169,1,4,7,2000-01-12,2000-01-12
133,dbad6eff,30.238.773-578,Rua Norte,847,2,17,34,2000-01-12,2000-01-12
134,4916162f,84.456.884-957,Rua da Ciência,751,2,11,21,2000-01-12,2000-01-12
135,621d4e69,90.375.814-765,Rua do Bosque,528,1,4,7,2000-01-12,2000-01-12
136,81d9fe2c,90.810.906-733,Rua da Justiça,961,2,17,33,2000-01-12,2000-01-12
137,40b44c65,59.449.448-310,Rua dos Lírios,585,1,8,15,2000-01-12,2000-01-12
138,4f47ca4d,46.889.210-240,Rua do Planeta,334,2,15,29,2000-01-12,2000-01-12
139,fdb82dc4,90.965.984-663,Rua Central,652,2,15,30,2000-01-12,2000-01-12
140,f9ee0a6b,36.805.486-658,Rua da Justiça,173,1,9,18,2000-01-12,2000-01-12
141,540a2009,45.728.772-484,Rua do Distrito,1,2,19,38,2000-01-12,2000-01-12
142,f1c202d3,82.657.212-115,Rua Ayrton Senna,606,1,9,18,2000-01-12,2000-01-12
143,fa217d65,64.454.313-477,Rua dos Lagos,191,1,7,14,2000-01-12,2000-01-12
144,eaf19ede,97.849.925-260,Rua das Tulipas,306,1,5,10,2000-01-12,2000-01-12
145,c6898413,22.625.621-314,Rua da Família,151,2,16,32,2000-01-12,2000-01-12
146,18e3a5dd,90.315.904-345,Rua dos Cravos,862,2,15,30,2000-01-12,2000-01-12
147,cf9ee05c,32.154.487-497,Rua da Água,475,1,2,3,2000-01-12,2000-01-12
148,cdbcdacf,71.819.336-404,Rua Carlos Gomes,209,2,19,38,2000-01-12,2000-01-12
149,5db71ebf,59.712.573-325,Rua da Democracia,160,2,13,25,2000-01-12,2000-01-12
150,13978b3b,22.771.605-241,Rua das Orquídeas,513,2,17,34,2000-01-12,2000-01-12
151,ad883f3b,19.199.342-548,Rua dos Cravos,590,2,15,30,2000-01-12,2000-01-12
152,b04bcc8e,22.924.893-643,Rua da Igualdade,538,2,13,26,2000-01-12,2000-01-12
153,34afe30d,53.631.847-352,Rua da Fraternidade,768,1,5,10,2000-01-12,2000-01-12
154,7c18545a,46.576.812-284,Rua Santos Dumont,100,2,16,31,2000-01-12,2000-01-12
155,cfb4d123,27.654.567-242,Rua do Porto,131,2,13,26,2000-01-12,2000-01-12
156,763496c5,78.539.546-210,Rua Oeste,1000,1,6,11,2000-01-12,2000-01-12
157,d07256f3,98.151.723-102,Rua do Sol,750,2,16,31,2000-01-12,2000-01-12
158,8502a500,50.356.133-517,Rua da Tradição,464,1,9,17,2000-01-12,2000-01-12
159,ceeb8b0f,45.369.568-538,Rua do Conhecimento,724,2,12,24,2000-01-12,2000-01-12
160,c11d997f,97.279.741-322,Rua Norte,911,1,3,5,2000-01-12,2000-01-12
161,0343e04b,82.927.485-385,Rua Sete de Setembro,484,1,6,11,2000-01-12,2000-01-12
162,f3f0df0e,19.340.269-839,Rua do Sertão,419,2,17,33,2000-01-12,2000-01-12
163,6c79400a,70.274.894-861,Rua do Turismo,911,1,2,4,2000-01-12,2000-01-12
164,373cc4e1,48.973.836-459,Rua dos Advogados,694,2,16,31,2000-01-12,2000-01-12
165,5ee8ce6e,22.139.593-606,Rua dos Lírios,354,1,7,14,2000-01-12,2000-01-12
166,426ac428,64.573.190-948,Rua da Moda,721,1,3,5,2000-01-12,2000-01-12
167,948a12d5,83.917.176-577,Rua da Escultura,200,2,12,23,2000-01-12,2000-01-12
168,c3e4ed25,28.103.444-952,Rua das Rosas,819,2,20,39,2000-01-12,2000-01-12
169,e043d0e1,60.908.693-407,Rua do Sol Poente,137,2,13,26,2000-01-12,2000-01-12
170,766edd72,50.239.920-422,Rua da Pesquisa,122,2,12,24,2000-01-12,2000-01-12
171,e59979ff,66.907.167-378,Rua da Esmeralda,575,2,17,34,2000-01-12,2000-01-12
