,cod_transacao,cod_calendario,cod_operacoes,cod_produto,quantidade_produto,cod_cliente,cod_servico,quantidade_servico,data_criacao,data_alteracao
0,5e3784cf,110,5,201,3,aaa7dca8,,,2026-07-15,2026-07-15
1,ee5d2395,553,3,201,4,bc297930,,,2026-07-15,2026-07-15
2,ac18119d,111,3,205,4,63369e6c,,,2026-07-15,2026-07-15
3,7a1daf2c,231,1,204,3,9efecf41,,,2026-07-15,2026-07-15
4,52afe41c,131,4,204,3,ef5f41ce,,,2026-07-15,2026-07-15
5,be128d1a,532,4,202,4,f7817da3,,,2026-07-15,2026-07-15
6,ab1dba15,114,1,204,4,5ae61d1c,,,2026-07-15,2026-07-15
7,7c0dd84c,395,4,203,4,62bfa0d9,,,2026-07-15,2026-07-15
8,f51e3cb3,121,6,203,3,a638b4b0,,,2026-07-15,2026-07-15
9,e0525049,34,2,201,2,e6d45de3,,,2026-07-15,2026-07-15
10,2c14627c,452,3,205,3,7ad06864,,,2026-07-15,2026-07-15
11,f97a5cf0,213,5,205,4,3f26afe9,,,2026-07-15,2026-07-15
12,6fc648dd,455,1,204,4,c49ff99c,,,2026-07-15,2026-07-15
13,39b555b7,588,6,203,4,d2599bb6,,,2026-07-15,2026-07-15
14,80b3c857,403,6,203,5,c4cdb41c,,,2026-07-15,2026-07-15
15,f0634e7e,373,7,201,1,112f9cab,,,2026-07-15,2026-07-15
16,5e4a9964,346,1,204,2,fc9cf0b8,,,2026-07-15,2026-07-15
17,cd693daa,509,1,205,2,aece207c,,,2026-07-15,2026-07-15
18,a904df73,668,2,204,5,e5d0ffbb,,,2026-07-15,2026-07-15
19,53da15ce,383,2,205,5,b4ca029a,,,2026-07-15,2026-07-15
20,b3756ff2,657,1,202,2,d2c89978,,,2026-07-15,2026-07-15
21,d27c4f92,606,6,205,2,69b06aa6,,,2026-07-15,2026-07-15
22,aad528bd,216,2,205,5,99fed753,,,2026-07-15,2026-07-15
23,0d76b547,10,3,202,3,6f2a321a,,,2026-07-15,2026-07-15
24,808033fc,674,2,205,3,b51ae2f1,,,2026-07-15,2026-07-15
25,a9f9f0fc,252,4,204,3,9349d295,,,2026-07-15,2026-07-15
26,f342064e,529,6,202,5,8125c6f0,,,2026-07-15,2026-07-15
27,d1523c57,589,2,205,5,9efecf41,,,2026-07-15,2026-07-15
28,bc8106a5,233,2,201,3,77c6d634,,,2026-07-15,2026-07-15
29,17494522,197,3,201,2,aaa7dca8,,,2026-07-15,2026-07-15
30,58f7c635,378,5,202,1,ac2c30bf,,,2026-07-15,2026-07-15
31,5cf6d5d4,671,5,201,1,c1b30594,,,2026-07-15,2026-07-15
32,e4d41709,631,3,204,3,70bfbcda,,,2026-07-15,2026-07-15
33,aac6a3d4,134,2,203,3,f399f8e1,,,2026-07-15,2026-07-15
34,d8d1232f,64,7,204,2,641c61ac,,,2026-07-15,2026-07-15
35,770479a8,364,1,201,3,8d3cc46f,,,2026-07-15,2026-07-15
36,e6d227b4,293,6,204,1,e3ec02d4,,,2026-07-15,2026-07-15
